书名,作者,出版社,出版时间,价格,评分,评价人数,简介,书籍链接
红楼梦,[清] 曹雪芹 著,人民文学出版社,1996-12,59.70元,9.6,"
                    455918
                ",都云作者痴，谁解其中味？,https://book.douban.com/subject/1007305/
活着,余华,作家出版社,2012-8,28.00元,9.4,"
                    901066
                ",生的苦难与伟大,https://book.douban.com/subject/4913064/
哈利·波特,J.K.罗琳 (J.K.Rowling),苏农,人民文学出版社,2008-12-1,9.7,"
                    130202
                ",从9¾站台开始的旅程,https://book.douban.com/subject/24531956/
1984,[英] 乔治·奥威尔,刘绍铭,北京十月文艺出版社,2010-4-1,9.4,"
                    306791
                ",栗树荫下，我出卖你，你出卖我,https://book.douban.com/subject/4820710/
三体全集,刘慈欣,重庆出版社,2012-1,168.00元,9.5,"
                    211061
                ",地球往事三部曲,https://book.douban.com/subject/6518605/
百年孤独,[哥伦比亚] 加西亚·马尔克斯,范晔,南海出版公司,2011-6,9.3,"
                    464974
                ",魔幻现实主义文学代表作,https://book.douban.com/subject/6082808/
飘,[美国] 玛格丽特·米切尔,李美华,译林出版社,2000-9,9.3,"
                    225529
                ",革命时期的爱情，随风而逝,https://book.douban.com/subject/1068920/
动物农场,[英] 乔治·奥威尔,荣如德,上海译文出版社,2007-3,9.3,"
                    177016
                ",太阳底下并无新事,https://book.douban.com/subject/2035179/
房思琪的初恋乐园,林奕含,北京联合出版公司,2018-2,45.00元,9.2,"
                    415662
                ",向死而生的文学绝唱,https://book.douban.com/subject/27614904/
三国演义（全二册）,[明] 罗贯中,人民文学出版社,1998-05,39.50元,9.3,"
                    180488
                ",是非成败转头空,https://book.douban.com/subject/1019568/
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔,丁钟华 等,群众出版社,1981-8,9.3,"
                    143539
                ",名侦探的代名词,https://book.douban.com/subject/1040211/
白夜行,[日] 东野圭吾,刘姿君,南海出版公司,2013-1-1,9.2,"
                    520287
                ",一宗离奇命案牵出跨度近20年步步惊心的故事,https://book.douban.com/subject/10554308/
小王子,[法国] 安东尼·德·圣-埃克苏佩里,马振骋,人民文学出版社,2003-8,9.1,"
                    791005
                ",献给长成了大人的孩子们,https://book.douban.com/subject/1084336/
呐喊,鲁迅,人民文学出版社,1973-3,0.36元,9.2,"
                    174589
                ",新文学的第一声呐喊,https://book.douban.com/subject/1449351/
邓小平时代,【美】傅高义 (Ezra.F.Vogel),冯克利,生活·读书·新知三联书店,2013-1-18,9.3,"
                    84002
                ",个人命运背后的历史变局,https://book.douban.com/subject/20424526/
安徒生童话故事集,（丹麦）安徒生,叶君健,人民文学出版社,1997-08,9.3,"
                    142191
                ",为了争取未来的一代,https://book.douban.com/subject/1046209/
撒哈拉的故事,三毛,哈尔滨出版社,2003-8,15.80元,9.2,"
                    193969
                ",游荡的自由灵魂,https://book.douban.com/subject/1060068/
天龙八部,金庸,生活·读书·新知三联书店,1994-5,96.00元,9.2,"
                    139440
                ",有情皆孽，无人不冤,https://book.douban.com/subject/1255625/
失踪的孩子,[意] 埃莱娜·费兰特,陈英,人民文学出版社,2018-7,9.2,"
                    97510
                ",我的整个生命，只是一场为了提升社会地位的低俗斗争。,https://book.douban.com/subject/30172069/
新名字的故事,[意] 埃莱娜·费兰特,陈英,人民文学出版社,2017-4,9.2,"
                    108577
                ",探索青年时代的激情、困惑、挣扎、背叛和失去,https://book.douban.com/subject/26986954/
杀死一只知更鸟,[美] 哈珀·李,高红梅,译林出版社,2012-9,9.2,"
                    160122
                ",有一种东西不能遵循从众原则，那就是——人的良心,https://book.douban.com/subject/6781808/
明朝那些事儿（1-9）,当年明月,中国海关出版社,2009-4,358.20元,9.2,"
                    197413
                ",不拘一格的历史书写,https://book.douban.com/subject/3674537/
卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基,荣如德,上海译文出版社,2015-2-1,9.6,"
                    48650
                ",,https://book.douban.com/subject/25887924/
野草,鲁迅,人民文学出版社,1973-3,0.20元,9.5,"
                    54291
                ",我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。,https://book.douban.com/subject/1915958/
沉默的大多数,王小波,中国青年出版社,1997-10,27.00元,9.1,"
                    159731
                ",沉默是沉默者的通行证,https://book.douban.com/subject/1054685/
中国历代政治得失,钱穆,生活·读书·新知三联书店,2001,12.00元,9.2,"
                    81419
                ",一部简明的“中国政治制度史”,https://book.douban.com/subject/1003479/
悉达多,[德] 赫尔曼·黑塞,姜乙,天津人民出版社,2017-1,9.1,"
                    166867
                ",,https://book.douban.com/subject/26980487/
罗杰疑案,[英] 阿加莎·克里斯蒂,常禾,新星出版社,2013-3,9.2,"
                    94900
                ",,https://book.douban.com/subject/21371175/
我与地坛,史铁生,春风文艺出版社,2002-5,25.00元,9.2,"
                    126962
                ",这是你的罪孽与福祉,https://book.douban.com/subject/1209899/
局外人,[法] 阿尔贝·加缪,柳鸣九,上海译文出版社,2010-8,9.1,"
                    265901
                ",人生在世，永远也不该演戏作假,https://book.douban.com/subject/4908885/
许三观卖血记,余华,作家出版社,2012-9,24.00元,9.2,"
                    195432
                ",,https://book.douban.com/subject/4760224/
彷徨,鲁迅,人民文学出版社,1973-3,0.37元,9.3,"
                    73342
                ",路漫漫其修远兮，吾将上下而求索,https://book.douban.com/subject/1449348/
白鹿原,陈忠实,人民文学出版社,2012-9,39.00元,9.2,"
                    123662
                ",一轴关于我们民族灵魂的现实主义画卷,https://book.douban.com/subject/10564071/
人类简史,[以色列] 尤瓦尔·赫拉利,林俊宏,中信出版社,2014-11,9.1,"
                    212259
                ",跟着人类一同走过十万年,https://book.douban.com/subject/25985021/
平凡的世界（全三部）,路遥,人民文学出版社,2005-1,64.00元,9.0,"
                    338143
                ",中国当代城乡生活全景,https://book.douban.com/subject/1200840/
乡土中国,费孝通,上海人民出版社,2006-4,38.00,9.2,"
                    104582
                ",中国乡土社会传统文化和社会结构理论研究代表作,https://book.douban.com/subject/1795079/
围城,钱锺书,人民文学出版社,1991-2,19.00,9.0,"
                    459063
                ",,https://book.douban.com/subject/1008145/
笑傲江湖（全四册）,金庸,生活·读书·新知三联书店,1994-5,76.80元,9.1,"
                    117126
                ",欲练此功，必先自宫,https://book.douban.com/subject/1002299/
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,陈澄和,广西师范大学出版社,2015-4,9.1,"
                    131697
                ",当声称能改造智能的科学实验选中心智障碍主角,https://book.douban.com/subject/26362836/
肖申克的救赎,[美] 斯蒂芬·金,施寄青,人民文学出版社,2006-7,9.1,"
                    128625
                ",豆瓣电影Top1原著,https://book.douban.com/subject/1829226/
东方快车谋杀案,[英] 阿加莎·克里斯蒂,陈尧光,人民文学出版社,2006-5,9.1,"
                    150846
                ",谋杀诡计惊人，波洛的抉择耐人寻味,https://book.douban.com/subject/1827374/
城南旧事,林海音 文,中国青年出版社,2003-7,16.00元,9.1,"
                    168912
                ",长亭外，古道边，芳草碧连天,https://book.douban.com/subject/1254588/
故事新编,鲁迅,人民文学出版社,1973-12-01,0.31 元,9.4,"
                    50293
                ",拾取古代传说，取一点因由，随意点染,https://book.douban.com/subject/2046909/
江城,[美] 彼得·海斯勒,李雪顺,上海译文出版社,2012-1,9.1,"
                    69065
                ",外国人眼中的涪陵,https://book.douban.com/subject/7060185/
基督山伯爵,[法国] 大仲马,周克希,上海译文出版社,1991-12-1,9.1,"
                    136350
                ",一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景,https://book.douban.com/subject/1085860/
朝花夕拾,鲁迅,人民文学出版社,1973-4,0.25元,9.1,"
                    169789
                ",在纷扰中寻出一点闲静,https://book.douban.com/subject/1449352/
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,杨玲,南海出版公司,2012-9-1,9.0,"
                    306477
                ",义无反顾地直达爱情的核心,https://book.douban.com/subject/10594787/
万历十五年,[美] 黄仁宇,生活·读书·新知三联书店,1997-5,18.00元,9.0,"
                    214851
                ",见微知著，历史观的颠覆,https://book.douban.com/subject/1041482/
秋园,杨本芬,北京联合出版公司,2020-6,38.00元,9.0,"
                    141981
                ",,https://book.douban.com/subject/34998019/
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich),范景中,广西美术出版社,2008-04,9.5,"
                    28813
                ",从最早的洞窟绘画到当今的实验艺术,https://book.douban.com/subject/3162991/
置身事内,兰小欢,上海人民出版社,2021-8,65.00元,9.1,"
                    100654
                ",,https://book.douban.com/subject/35546622/
月亮和六便士,[英] 毛姆,傅惟慈,上海译文出版社,2006-8,9.0,"
                    222182
                ",有多少人会经历顿悟，就有更少的人甘愿自我放逐,https://book.douban.com/subject/1858513/
厌女,上野千鹤子,王兰,上海三联书店,2015-1,9.1,"
                    93528
                ",,https://book.douban.com/subject/25836270/
射雕英雄传,金庸,生活·读书·新知三联书店,1999-04,47.00元,9.1,"
                    91136
                ",侠之大者，为国为民,https://book.douban.com/subject/1044547/
西游记（全二册）,吴承恩,黄肃秋 注释,人民文学出版社,2004-8,9.1,"
                    99951
                ",神魔皆有人情，精魅亦通世故,https://book.douban.com/subject/1029553/
追风筝的人,[美] 卡勒德·胡赛尼,李继宏,上海人民出版社,2006-5,8.9,"
                    820790
                ",为你，千千万万遍,https://book.douban.com/subject/1770782/
树上的男爵,[意大利]伊塔洛·卡尔维诺,吴正仪,译林出版社,2012-4-1,9.1,"
                    69576
                ",是不是真的只有先与人疏离，才能最终与他们在一起？,https://book.douban.com/subject/6789605/
无人生还,[英] 阿加莎・克里斯蒂,祁阿红,人民文学出版社,2008-3,9.0,"
                    164111
                ",童谣杀人案,https://book.douban.com/subject/3006581/
寻路中国,[美] 彼得·海斯勒,李雪顺,上海译文出版社,2011-1,9.0,"
                    60741
                ",《纽约客》驻北京记者驾车漫游中国大陆的经历,https://book.douban.com/subject/5414391/
格林童话全集,[德]格林兄弟,魏以新,人民文学出版社,1994-11,9.1,"
                    100752
                ",一本有教育意义的书,https://book.douban.com/subject/1043008/
刀锋,[英]毛姆,周煦良,上海译文出版社,2007-3,9.0,"
                    100196
                ",一把刀的锋刃不容易越过；因此智者说得救之道是困难的,https://book.douban.com/subject/2035162/
中国少年儿童百科全书（全四册）,林崇德 主编,浙江教育出版社,1991-4,168.00元,9.4,"
                    20884
                ",,https://book.douban.com/subject/1028409/
可能性的艺术,刘瑜,广西师范大学出版社,2022-4,82.00元,9.2,"
                    49031
                ",,https://book.douban.com/subject/35819419/
太白金星有点烦,马伯庸,湖南文艺出版社,2023-6,45.00,9.0,"
                    141958
                ",,https://book.douban.com/subject/36328704/
鼠疫,[法] 阿尔贝·加缪,刘方,上海译文出版社,2013-8,9.1,"
                    92047
                ",用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理,https://book.douban.com/subject/24257229/
嫌疑人X的献身,[日] 东野圭吾,刘子倩,南海出版公司,2008-9,8.9,"
                    547523
                ",数学好是一种极致的浪漫,https://book.douban.com/subject/3211779/
傲慢与偏见,[英] 奥斯丁,张玲,人民文学出版社,1993-7,8.9,"
                    241840
                ",所有现代言情小说的母体,https://book.douban.com/subject/1083428/
刘擎西方现代思想讲义,刘擎,新星出版社,2021-1,79.00元,9.2,"
                    43984
                ",,https://book.douban.com/subject/35313227/
黄金时代,王小波,花城出版社,1999-3,19.00元,8.9,"
                    173051
                ",我想爱，想吃，还想在一瞬间变成天上半明半暗的云,https://book.douban.com/subject/1089243/
孽子,白先勇,广西师范大学出版社,2010-10,46.00元,9.2,"
                    56699
                ",写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们,https://book.douban.com/subject/5337254/
史记（全十册）,司马迁,（索隐）司马贞，（正义）张守节,中华书局,1982-11,9.5,"
                    27004
                ",史家之绝唱，无韵之离骚,https://book.douban.com/subject/1077847/
台北人,白先勇,广西师范大学出版社,2010-10,38.00元,9.0,"
                    82159
                ",白先勇短篇小说集,https://book.douban.com/subject/5337248/
悲惨世界（上中下）,[法] 雨果,李丹,人民文学出版社,1992-6,9.1,"
                    66707
                ",现实主义与浪漫主义的至高杰作,https://book.douban.com/subject/1205054/
一间只属于自己的房间,[英] 弗吉尼亚·伍尔夫,周颖琪,天津人民出版社,2019-10,9.2,"
                    52993
                ",,https://book.douban.com/subject/34835082/
四世同堂,老舍,北京十月文艺出版社,2008-7,36.00元,9.4,"
                    46693
                ",北平沦陷时代广大平民的悲惨遭遇,https://book.douban.com/subject/3183775/
诗经,孔丘 编订,北京出版社,2006-7,19.90元,9.5,"
                    31339
                ",思无邪,https://book.douban.com/subject/1883245/
永恒的终结,[美] 艾萨克·阿西莫夫,崔正男,江苏凤凰文艺出版社,2014-9,9.1,"
                    53437
                ",关于时间旅行的终极奥秘和恢宏构想,https://book.douban.com/subject/25829693/
毛泽东选集,毛泽东,人民出版社,1991-6,40.00元,9.6,"
                    36856
                ",,https://book.douban.com/subject/1139360/
美丽新世界,【英】奥尔德斯·赫胥黎,陈超,上海译文出版社,2017-6,9.1,"
                    69497
                ",,https://book.douban.com/subject/27002046/
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼,宁蒙,四川文艺出版社,2015-12,9.1,"
                    79068
                ",这个发生在瑞典的故事，如生命庆典般绚丽斑斓,https://book.douban.com/subject/26672693/
神雕侠侣,金庸,有1996年11月北平第4次印本,生活·读书·新知三联书店,1994-5,8.9,"
                    105670
                ",至情至性，情大于武,https://book.douban.com/subject/1255624/
南京大屠杀,[美]张纯如（Iris Chang）,谭春霞,中信出版社,2015-8,9.7,"
                    27593
                ",,https://book.douban.com/subject/26545308/
绝叫,[日] 叶真中显,林佩瑾,北京联合出版公司,2020-7,8.9,"
                    140842
                ",,https://book.douban.com/subject/35031587/
始于极限,[日] 上野千鹤子,曹逸冰,新星出版社,2022-9-20,9.0,"
                    83878
                ",,https://book.douban.com/subject/35966120/
唐诗三百首,蘅塘退士,中华书局,1984-07-01,0.65,9.4,"
                    29974
                ",熟读唐诗三百首，不会吟诗也会吟,https://book.douban.com/subject/1013267/
历史深处的忧虑,林达,生活·读书·新知三联书店,1997-5,19.00元,9.0,"
                    47683
                ",窥见美国社会的一扇窗,https://book.douban.com/subject/1027191/
上帝掷骰子吗,曹天元,辽宁教育出版社,2006-1,32.00元,9.2,"
                    36793
                ",量子物理史话,https://book.douban.com/subject/1467022/
灿烂千阳,[美] 卡勒德·胡赛尼,李继宏,上海人民出版社,2007-9,8.9,"
                    131229
                ",唯有希望与爱可以驱散阴霾,https://book.douban.com/subject/2143732/
窗边的小豆豆,[日] 黑柳彻子 著,赵玉皎,南海出版公司,2003-1,8.9,"
                    223504
                ",真正懂孩子的教育经,https://book.douban.com/subject/1007914/
哭泣的骆驼,三毛,哈尔滨出版社,2003-6,15.80元,9.0,"
                    60253
                ",沙漠中寻常的生与死,https://book.douban.com/subject/1029111/
美的历程,李泽厚,生活·读书·新知三联书店,2009-7,43.00元,9.2,"
                    35654
                ",中国美学经典之作,https://book.douban.com/subject/3410718/
最好的告别,[美] 阿图·葛文德（Atul Gawande）,王一方 主编,浙江人民出版社,2015-7-31,9.0,"
                    55856
                ",关于衰老与死亡，你必须知道的常识,https://book.douban.com/subject/26576861/
呼兰河传,萧红,百花文艺出版社,2005-01,19.00,9.0,"
                    89456
                ",萧红的童年往事,https://book.douban.com/subject/1060852/
棋王·树王·孩子王,阿城,江苏凤凰文艺出版社,2016-3-1,58.00,9.3,"
                    34515
                ",,https://book.douban.com/subject/26734559/
人间词话,王国维,上海古籍出版社,1998-12,9.80元,9.1,"
                    58267
                ",以新眼光评旧文学,https://book.douban.com/subject/1203426/
冬牧场,李娟,新星出版社,2012-6,29.80元,9.1,"
                    47095
                ",阿勒泰的精灵,https://book.douban.com/subject/10522856/
离开的，留下的,[意] 埃莱娜·费兰特,陈英,人民文学出版社,2017-10,8.9,"
                    89080
                ",探索中年的虚无、困惑、野心和近乎残暴的爱,https://book.douban.com/subject/27104959/
筚路维艰,萧冬连,社会科学文献出版社,2014-10-1,45.00元,9.5,"
                    23456
                ",,https://book.douban.com/subject/26171466/
流俗地,【马来西亚】黎紫书,北京十月文艺出版社,2021-4-1,55.00元,9.2,"
                    36459
                ",,https://book.douban.com/subject/35430425/
罪与罚,[俄] 陀思妥耶夫斯基,岳麟,上海译文出版社,2006-8,9.3,"
                    40063
                ",描绘人内心的全部深度,https://book.douban.com/subject/1858568/
西线无战事,[德] 埃里希·玛丽亚·雷马克,姜乙,上海文艺出版社,2021-1,9.4,"
                    29235
                ",,https://book.douban.com/subject/35272817/
道德经,黄元吉,陕西人民出版社,1996-10,4.50元,9.5,"
                    22525
                ",中国历史上首部完整的哲学著作,https://book.douban.com/subject/1059258/
文学回忆录,木心 讲述,广西师范大学出版社,2013-1-10,98.00元,9.1,"
                    46247
                ",木心留给世界的礼物,https://book.douban.com/subject/20440644/
叫魂,[美] 孔飞力,陈兼,生活·读书·新知三联书店 上海三联书店,2014-6,9.2,"
                    39459
                ",,https://book.douban.com/subject/25912076/
也许你该找个人聊聊,[美]洛莉·戈特利布,张含笑,上海文化出版社,2021-7-28,9.0,"
                    60091
                ",,https://book.douban.com/subject/35481512/
明亮的夜晚,[韩]崔恩荣,叶蕾,台海出版社,2023-8,9.0,"
                    58851
                ",,https://book.douban.com/subject/36457094/
遥远的向日葵地,李娟,花城出版社,2017-11,38.00元,9.1,"
                    45565
                ",,https://book.douban.com/subject/27184303/
桶川跟踪狂杀人事件,[日] 清水洁,王华懋,四川人民出版社,2021-2,9.0,"
                    59282
                ",,https://book.douban.com/subject/35094680/
平面国,[英] 埃德温·A·艾勃特,鲁冬旭,上海文化出版社,2020-8,9.2,"
                    34531
                ",,https://book.douban.com/subject/35170896/
浪潮之巅,吴军,电子工业出版社,2011-8,55.00元,9.0,"
                    34955
                ",了解IT领域的入门读物,https://book.douban.com/subject/6709783/
少年凯歌,人民文学出版社,2001-6,10.00元,,9.3,"
                    21999
                ",,https://book.douban.com/subject/1091203/
受戒,汪曾祺,漓江出版社,1987-10,3.95元,9.3,"
                    30255
                ",江南乡镇民间生活，健康淳朴的人性,https://book.douban.com/subject/1760432/
爱你就像爱生命,王小波,上海锦绣文章出版社,2008-5,18.00元,8.8,"
                    119750
                ",王小波与李银河的两地书,https://book.douban.com/subject/3071717/
人生的枷锁,[英] 毛姆,张柏然,上海译文出版社,2007-3,9.1,"
                    33411
                ",在混沌纷扰的生活漩流中，寻求人生的真谛,https://book.douban.com/subject/2035171/
我们仨,杨绛,生活·读书·新知三联书店,2003-7,18.80元,8.7,"
                    322193
                ",,https://book.douban.com/subject/1023045/
茶馆,老舍,人民文学出版社,2002-1,9.80元,9.2,"
                    38974
                ",清末、民初、抗战胜利以后三个历史时期的北京生活风貌,https://book.douban.com/subject/1036613/
失明症漫记,[葡] 若泽·萨拉马戈,范维信,南海出版公司,2014-2,9.0,"
                    43766
                ",失明症迅速蔓延，整个城市陷入一场空前的灾难,https://book.douban.com/subject/20428302/
看不见的城市,[意] 伊塔洛·卡尔维诺,张密,译林出版社,2012-4,9.0,"
                    41871
                ",,https://book.douban.com/subject/10555509/
昨日的世界,[奥] 斯特凡·茨威格,徐友敬,上海译文出版社,2018-7,9.4,"
                    20988
                ",,https://book.douban.com/subject/27615361/
教父,[美]马里奥·普佐,周汉林,译林出版社,1997-8,9.0,"
                    42123
                ",“教父三部曲”电影原著,https://book.douban.com/subject/1092335/
巨人的陨落,[英] 肯·福莱特,于大卫,江苏凤凰文艺出版社,2016-5-1,8.9,"
                    88486
                ",五个家族，一场战争,https://book.douban.com/subject/26698660/
飞鸟集,[印] 罗宾德拉纳德·泰戈尔,徐翰林,哈尔滨出版社,2004-6,8.9,"
                    69687
                ",一个淡泊清透的世界,https://book.douban.com/subject/1058661/
海子的诗,海子,人民文学出版社,1999-04,15.40,9.0,"
                    49390
                ",,https://book.douban.com/subject/1011754/
