书名,作者,出版社,出版时间,价格,评分,评价人数,简介,书籍链接
人生的智慧,(德)叔本华,韦启昌,上海人民出版社,2008-10-01,9.2,"
                    35399
                ",对世俗、实用问题深刻而透彻的讨论,https://book.douban.com/subject/3261600/
我的天才女友,[意] 埃莱娜·费兰特,陈英,人民文学出版社,2017-1,8.8,"
                    134987
                ",“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争,https://book.douban.com/subject/26878124/
鹿鼎记,金庸,广州出版社 花城出版社,2008-3,108.00元,8.9,"
                    58003
                ",武侠的解构，流氓的狂欢,https://book.douban.com/subject/1212893/
人间草木,汪曾祺,江苏文艺出版社,2005-01,20.00元,9.2,"
                    37258
                ",我就是要这样香，香得痛痛快快,https://book.douban.com/subject/1253310/
克莱因壶,[日] 冈岛二人,张舟,化学工业出版社,2019-9,8.8,"
                    84057
                ",,https://book.douban.com/subject/33658616/
面纱,[英] 威廉·萨默塞特·毛姆,于大卫,江西人民出版社,2016-4-1,9.0,"
                    50217
                ",,https://book.douban.com/subject/26757680/
陆犯焉识,严歌苓,作家出版社,2011-10,35.00元,8.9,"
                    60536
                ",翻手为苍凉，覆手为繁华,https://book.douban.com/subject/6880158/
额尔古纳河右岸,迟子建,人民文学出版社,2019-6-1,32.00元,9.0,"
                    72143
                ",,https://book.douban.com/subject/34432750/
十万个为什么,少年儿童出版社,1962,30.00元,,9.2,"
                    22045
                ",,https://book.douban.com/subject/2160556/
檀香刑,莫言,浙江文艺出版社,2017-1,56.00元,9.2,"
                    41808
                ",,https://book.douban.com/subject/26905337/
边城,沈从文,北岳文艺出版社,2002-4,12.00元,8.7,"
                    240909
                ",一切充满了善，然而到处是不凑巧,https://book.douban.com/subject/1057244/
13 67,陳浩基,皇冠文化出版有限公司,2014-6-9,NT$350,9.1,"
                    27759
                ",,https://book.douban.com/subject/25897884/
斯通纳,[美] 约翰·威廉斯,杨向荣,上海人民出版社,2016-1,8.8,"
                    70458
                ",即使不能拥有完美的生活，所幸追求过完整的自我,https://book.douban.com/subject/26425831/
地下室手记,[俄] 陀思妥耶夫斯基,曾思艺,浙江文艺出版社,2020-5,9.2,"
                    35736
                ",,https://book.douban.com/subject/34990839/
时间简史,[英] 史蒂芬·霍金,许明贤,湖南科学技术出版社,2010-4,8.9,"
                    65129
                ",探索时间和空间的核心秘密,https://book.douban.com/subject/1034282/
梦里花落知多少,三毛,北京十月文艺出版社,2007-6,28.00元,8.8,"
                    101302
                ",哀而不伤,https://book.douban.com/subject/2070844/
王尔德童话,[英] 王尔德,王林,译林出版社,2003-6,9.1,"
                    25587
                ",一颗纯美纯善、永难泯灭的童心,https://book.douban.com/subject/1119839/
金色梦乡,[日] 伊坂幸太郎,李彦桦,译林出版社,2010-9,9.0,"
                    33733
                ",伊坂幸太郎代表作,https://book.douban.com/subject/5038409/
一句顶一万句,刘震云,长江文艺出版社,2009-3,29.80,8.8,"
                    100052
                ",一句胜过千年,https://book.douban.com/subject/3633461/
这些人，那些事,吴念真,译林出版社,2011-9,28.00元,8.8,"
                    69776
                ",平淡叙述下的惊心动魄,https://book.douban.com/subject/6388661/
小径分岔的花园,[阿根廷] 豪·路·博尔赫斯,王永年,上海译文出版社,2015-7,8.9,"
                    54425
                ",一个谜语，谜底正是时间,https://book.douban.com/subject/25796120/
大明王朝1566,刘和平,花城出版社,2016-7,88.00元,9.5,"
                    19261
                ",,https://book.douban.com/subject/26925171/
2001：太空漫游,[英] 阿瑟·克拉克,郝明义,上海文艺出版社,2019-4-10,9.3,"
                    25893
                ",,https://book.douban.com/subject/30471298/
绿毛水怪,王小波,时代文艺出版社,2009-1,30.00元,9.1,"
                    27239
                ",我们好象在池塘的水底，从一个月亮走向另一个月亮,https://book.douban.com/subject/3518332/
长日将尽,[英] 石黑一雄,冯涛,上海译文出版社,2018-5,8.9,"
                    43953
                ",,https://book.douban.com/subject/30142261/
安娜·卡列尼娜,[俄] 列夫·托尔斯泰,草婴,上海文艺出版社,2007-8,9.2,"
                    35276
                ",,https://book.douban.com/subject/2253380/
海的女儿,安徒生,叶君健,上海译文出版社,1978年6月,9.1,"
                    27786
                ",,https://book.douban.com/subject/1765512/
你当像鸟飞往你的山,塔拉·韦斯特弗,任爱红,南海出版公司,2019-10,8.7,"
                    218490
                ",我来自一个极少有人能想象的家庭，教育给了我新世界,https://book.douban.com/subject/33440205/
半生缘,张爱玲,北京十月文艺出版社,2012-6-1,29.60元,9.1,"
                    38274
                ",,https://book.douban.com/subject/10757938/
故事,[美] 罗伯特·麦基,周铁东,天津人民出版社,2014-9,9.2,"
                    21640
                ",材质、结构、风格和银幕剧作的原理,https://book.douban.com/subject/25976544/
阿勒泰的角落,李娟,万卷出版公司,2010-6,25.00元,9.1,"
                    24283
                ",白雪和阳光，青草和白桦林,https://book.douban.com/subject/4881850/
强风吹拂,三浦紫苑,林佩瑾,广西师范大学出版社,2015-1-1,9.0,"
                    33751
                ",明明这么痛苦，这么难过，为什么就是不能放弃跑步？,https://book.douban.com/subject/26210487/
经济学原理（上下）,[美] 曼昆,梁小民,机械工业出版社,2003-8,9.1,"
                    23694
                ",经济学家们的世界观,https://book.douban.com/subject/1028842/
鹿川有许多粪,李沧东,春喜,武汉大学出版社,2021-8,8.9,"
                    40875
                ",,https://book.douban.com/subject/35517022/
國史大綱（上下）,錢穆,商务印书馆,2013-8,76.00元,9.4,"
                    17527
                ",钱穆中国通史,https://book.douban.com/subject/1046492/
天朝的崩溃,茅海建,生活·读书·新知三联书店,2014-10,59.00元,9.4,"
                    17998
                ",,https://book.douban.com/subject/25935941/
万水千山走遍,三毛,哈尔滨出版社,2003-08,13.80,8.9,"
                    48580
                ",从遥远的撒哈拉到敦煌戈壁,https://book.douban.com/subject/1036490/
温柔的夜,三毛,北京十月文艺出版社,2007-5,28.00元,9.1,"
                    25246
                ",三毛在加纳利群岛的生活,https://book.douban.com/subject/2068249/
苏菲的世界,[挪] 乔斯坦·贾德,萧宝森,作家出版社,2007-10,8.8,"
                    63114
                ",哲学启蒙书,https://book.douban.com/subject/2284311/
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森,管延圻,中信出版社,2011-10-24,8.8,"
                    64375
                ",完美主义者的最高形态,https://book.douban.com/subject/6798611/
冰与火之歌,[美]乔治·R.R.马丁,谭光磊,重庆出版社,2013-10-1,9.5,"
                    21348
                ",乔治·R·R·马丁史诗奇幻小说,https://book.douban.com/subject/25826936/
一个陌生女人的来信,[奥] 斯蒂芬·茨威格,张玉书,上海译文出版社,2007-7,8.7,"
                    154357
                ",暗恋的极致,https://book.douban.com/subject/2154960/
全球通史,斯塔夫里阿诺斯,吴象婴,北京大学出版社,2012-2-1,9.0,"
                    25171
                ",,https://book.douban.com/subject/10583099/
东晋门阀政治,田余庆,北京大学出版社,2012-5,49.00元,9.5,"
                    17049
                ",,https://book.douban.com/subject/10758290/
生死疲劳,莫言,浙江文艺出版社,2021-11,69.90元,9.0,"
                    60588
                ",,https://book.douban.com/subject/35587028/
爱的艺术,[美] 艾·弗洛姆,李健鸣,上海译文出版社,2008-4,8.8,"
                    55481
                ",谦恭地、勇敢地、真诚地和有纪律地爱他人,https://book.douban.com/subject/3026879/
亮剑,都梁,解放军文艺出版社,2005-3,28.00元,9.0,"
                    33789
                ",面对强大的对手，明知不敌，也要毅然亮剑,https://book.douban.com/subject/1088022/
我不知道该说什么，关于死亡还是爱情,[白俄] S·A·阿列克谢耶维奇,方祖芳,花城出版社,2014-6-15,9.2,"
                    21603
                ",真实记录切尔诺贝利核灾难事件,https://book.douban.com/subject/25884880/
球状闪电,刘慈欣,四川科学技术出版社,2005-6,22.00元,8.7,"
                    95184
                ",量子之外，没有真相,https://book.douban.com/subject/1192090/
草房子,曹文轩,江苏少年儿童出版社,2009-6,18.00元,9.0,"
                    61109
                ",男孩桑桑刻骨铭心、终身难忘的六年小学生活,https://book.douban.com/subject/1052990/
德米安,[德] 赫尔曼·黑塞,丁君君,上海人民出版社,2009-3,8.9,"
                    44173
                ",少年辛克莱寻找通向自身之路的艰辛历程,https://book.douban.com/subject/3578470/
不能承受的生命之轻,米兰·昆德拉,许钧,上海译文出版社,2010-8,8.8,"
                    50319
                ",,https://book.douban.com/subject/4920007/
古文观止,吴楚材,中华书局,1987-1-1,21.00元,9.1,"
                    20213
                ",收录自先秦至明末的散文二百二十二篇,https://book.douban.com/subject/1014561/
恶意,[日] 东野圭吾,娄美莲,南海出版公司,2016-11,8.7,"
                    158830
                ",,https://book.douban.com/subject/26877752/
李光耀观天下,李光耀,北京大学出版社,2015-6,58.00元,9.2,"
                    18158
                ",,https://book.douban.com/subject/26413154/
我的阿勒泰,李娟,云南人民出版社,2010-7,25.00元,8.9,"
                    33946
                ",描写疆北阿勒泰地区生活和风情的原生态散文集,https://book.douban.com/subject/4884218/
亲密关系（第6版）,[美] 罗兰·米勒,王伟平,人民邮电出版社,2015-6,9.2,"
                    31292
                ",,https://book.douban.com/subject/26585065/
倾城之恋,张爱玲,北京十月文艺出版社,2012-6-1,29.80元,8.9,"
                    44606
                ",,https://book.douban.com/subject/10757940/
天生有罪,[南非] 特雷弗·诺亚,董帅,北京联合出版公司,2018-2-1,9.1,"
                    24207
                ",,https://book.douban.com/subject/30125030/
麦琪的礼物,[美] 欧·亨利,张经浩,上海社会科学院出版社,2003-7,8.7,"
                    79291
                ",日常的奇迹,https://book.douban.com/subject/1051193/
社会心理学,[美] 戴维·迈尔斯,张智勇,人民邮电出版社,2006-1,9.0,"
                    28804
                ",人们是如何思索、影响他人并与他人建立联系的,https://book.douban.com/subject/1476651/
足利女童连续失踪事件,[日] 清水洁,曾玉婷,文汇出版社,2022-7,9.0,"
                    29565
                ",,https://book.douban.com/subject/35776315/
看不见的女性,卡罗琳·克里亚多·佩雷斯,詹涓,新星出版社,2022-8,9.1,"
                    21901
                ",,https://book.douban.com/subject/35942057/
翦商,李硕,广西师范大学出版社,2022-10,99.00元,8.9,"
                    37105
                ",,https://book.douban.com/subject/36096304/
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯,魏然,南海出版公司,2013-6,8.7,"
                    62582
                ",我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯,https://book.douban.com/subject/24382569/
帷幕,[英]阿加莎·克里斯蒂,李杨,新星出版社,2015-2,9.1,"
                    21057
                ",,https://book.douban.com/subject/26292535/
包法利夫人,福楼拜,李健吾,人民文学出版社,2003-1-1,9.1,"
                    32645
                ",,https://book.douban.com/subject/25897678/
父权制与资本主义,[日] 上野千鹤子,邹韵,浙江大学出版社,2020-3,9.2,"
                    21431
                ",,https://book.douban.com/subject/34896921/
雕刻时光,[苏] 安德烈·塔可夫斯基,张晓东,南海出版公司,2016-5,9.4,"
                    11098
                ",,https://book.douban.com/subject/26435510/
一个女人的故事,[法]安妮·埃尔诺,郭玉梅,上海人民出版社,2022-10,9.0,"
                    22249
                ",,https://book.douban.com/subject/36078195/
在细雨中呼喊,余华,作家出版社,2012-11-1,25.00元,8.8,"
                    89444
                ",,https://book.douban.com/subject/20421947/
我也有一个梦想,林达,生活·读书·新知三联书店,2004-08,25.00元,9.0,"
                    16827
                ",在法治国家里，民众怎样运用法律,https://book.douban.com/subject/1014825/
激荡三十年（上）,吴晓波,中信出版社,2007-1,35.00,8.8,"
                    33498
                ",这是一个最好的时代，也是一个最坏的时代,https://book.douban.com/subject/1970428/
尼罗河上的惨案,[英] 阿加莎·克里斯蒂,宫英海,人民文学出版社,2006-5,8.7,"
                    54007
                ",阿加莎·克里斯蒂代表作,https://book.douban.com/subject/1818347/
情书,[日] 岩井俊二,穆晓芳,天津人民出版社,2004-7,8.6,"
                    112875
                ",一场同名同姓的误会，两段可贵的爱情,https://book.douban.com/subject/1080370/
挽救计划,[美] 安迪·威尔,耿辉,译林出版社,2021-9,9.1,"
                    16119
                ",,https://book.douban.com/subject/35494160/
银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫,叶李华,江苏凤凰文艺出版社,2015-10-1,9.5,"
                    18789
                ",阿西莫夫经典科幻小说,https://book.douban.com/subject/26389895/
从零开始的女性主义,[日本] 上野千鹤子,吕灵芝,北京联合出版公司,2021-9,8.7,"
                    77400
                ",,https://book.douban.com/subject/35523099/
一千零一夜,纳训,人民文学出版社,2003-01,22.00,8.8,"
                    63023
                ",阿拉伯地区的古代民间传说,https://book.douban.com/subject/1035848/
雷雨,曹禺,人民文学出版社,1999-05,9.20,8.7,"
                    84088
                ",一幕人生大悲剧，在一个雷雨夜爆发,https://book.douban.com/subject/1013416/
骆驼祥子,老舍,人民文学出版社,1962-10-1,12.00元,8.6,"
                    222896
                ",旧中国老北京贫苦市民的典型命运,https://book.douban.com/subject/1043815/
最好的我们,八月长安,湖南文艺出版社,2013-8-5,55,8.8,"
                    75914
                ",耿耿余淮,https://book.douban.com/subject/24754316/
理想国,[古希腊] 柏拉图,郭斌和,商务印书馆,1986-8,8.8,"
                    40815
                ",人类历史上最早的乌托邦,https://book.douban.com/subject/1004821/
当呼吸化为空气,[美] 保罗·卡拉尼什,何雨珈,浙江文艺出版社,2016-11,8.9,"
                    33643
                ",你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气,https://book.douban.com/subject/26896859/
海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德,陈以侃,上海文艺出版社,2015-6-1,9.0,"
                    22658
                ",男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟,https://book.douban.com/subject/26357614/
水浒传（全二册）,[明] 施耐庵,人民文学出版社,1997-1,50.60元,8.7,"
                    84491
                ",替天行道,https://book.douban.com/subject/1008357/
荒原狼,[德]赫尔曼·黑塞,赵登荣,上海译文出版社,2008-7,9.0,"
                    26378
                ",“超现实主义”风格作品，德国的《尤利西斯》,https://book.douban.com/subject/3131626/
万物有灵且美,[英] 吉米·哈利,种衍伦,中国城市出版社,2010-1,8.9,"
                    24496
                ",活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事,https://book.douban.com/subject/4187411/
雨季不再来,三毛,北京十月文艺出版社,2007-7,28.00元,8.8,"
                    58670
                ",三毛少女时代的成长感受,https://book.douban.com/subject/2136140/
孙子兵法,孙武,郭化若,上海古籍出版社,2006-7,9.4,"
                    15224
                ",我国最古老最杰出的一部兵书,https://book.douban.com/subject/1949420/
倚天屠龙记,金庸,生活·读书·新知三联书店,1999-04,47.00,8.7,"
                    65663
                ",不识张郎是张郎,https://book.douban.com/subject/1070851/
跨越边界的社区（修订版）,项飙,生活·读书·新知三联书店,2018-3,68.00元,9.4,"
                    11687
                ",,https://book.douban.com/subject/30116399/
送你一颗子弹,刘瑜,上海三联书店,2010-1,25.00元,8.6,"
                    146416
                ",在这本书里，被“审视”的东西杂七杂八,https://book.douban.com/subject/4238362/
罗生门,[日] 芥川龙之介,林少华,上海译文出版社,2008-7,8.7,"
                    75523
                ",人生，远比地狱更像地狱,https://book.douban.com/subject/3136271/
九州·缥缈录,江南,新世界出版社,2005-6,20.00元,8.8,"
                    33007
                ",乱世的英雄史诗,https://book.douban.com/subject/1321017/
孩子你慢慢来,龙应台,生活·读书·新知三联书店,2009-12-1,28.00元,8.7,"
                    82638
                ",我们现在怎样做母亲,https://book.douban.com/subject/4207781/
不存在的骑士,[意] 伊塔洛·卡尔维诺,吴正仪,译林出版社,2012-4,8.9,"
                    29675
                ",,https://book.douban.com/subject/6789551/
现代艺术150年,[英] 威尔·贡培兹,王烁,广西师范大学出版社,2017-3,9.1,"
                    16441
                ",,https://book.douban.com/subject/26854318/
显微镜下的大明,马伯庸,湖南文艺出版社,2019-1,52.00元,8.7,"
                    55596
                ",,https://book.douban.com/subject/30414743/
浮生六记,（清）沈复,人民文学出版社,1999-1,38,8.7,"
                    74800
                ",苟不记之笔墨，未免有辜彼苍之厚,https://book.douban.com/subject/1088581/
奥斯维辛,[英] 劳伦斯·里斯,刘爽,广西师范大学出版社,2016-9,9.5,"
                    11784
                ",,https://book.douban.com/subject/26861418/
庄子,孙通海 译注,孙通海  译注,中华书局,2007-04,9.4,"
                    13447
                ",野马也，尘埃也，生物之以息相吹也,https://book.douban.com/subject/2046236/
坟,鲁迅,人民文学出版社,2006-12,16.00元,9.6,"
                    13880
                ",,https://book.douban.com/subject/1974029/
论语,刘胜利,中华书局,2006-12,9.80元,9.1,"
                    26306
                ",仁远乎哉？我欲仁，斯仁至矣,https://book.douban.com/subject/1964774/
你一生的故事,[美] 特德·姜,李克勤,译林出版社,2015-5,8.8,"
                    39722
                ",特德·姜科幻小说集,https://book.douban.com/subject/26295448/
渴望生活,[美] 欧文·斯通,常涛,北京十月文艺出版社,2008-4,9.1,"
                    12358
                ",梵高悲惨而成就辉煌的人生,https://book.douban.com/subject/3054821/
野火集,龙应台,文汇出版社,2005-8,25.00元,8.7,"
                    35953
                ",中国人，你为什么不生气,https://book.douban.com/subject/1426971/
会饮篇,[古希腊] 柏拉图,王太庆,商务印书馆,2013-1,9.3,"
                    13761
                ",,https://book.douban.com/subject/21570668/
银河系漫游指南,[英] 道格拉斯·亚当斯,徐百柯,四川科学技术出版社,2005-6,8.8,"
                    23920
                ",一场穿越银河的冒险,https://book.douban.com/subject/1394364/
金锁记,张爱玲,哈尔滨出版社,2005-6,13.5元,8.7,"
                    67314
                ",一个小商人家庭出身的女子曹七巧的心灵变迁历程,https://book.douban.com/subject/3017857/
黑箱：日本之耻,[日] 伊藤诗织,匡匡,雅众文化/中信出版集团,2019-4,8.9,"
                    26315
                ",,https://book.douban.com/subject/30484795/
哈姆莱特,[英] 莎士比亚,朱生豪,人民文学出版社,2001-1,8.7,"
                    53890
                ",生存还是毁灭，这是一个值得思考的问题,https://book.douban.com/subject/1006197/
二手时间,[白俄] S. A. 阿列克谢耶维奇,吕宁思,中信出版社,2016-1,8.9,"
                    28387
                ",,https://book.douban.com/subject/26704403/
分成两半的子爵,[意] 伊塔洛·卡尔维诺,吴正仪,译林出版社,2012-4-1,8.8,"
                    33509
                ",,https://book.douban.com/subject/10555486/
象棋的故事,[奥] 斯蒂芬·茨威格,张玉书,上海译文出版社,2007-7,9.1,"
                    14307
                ",纳粹法西斯对人心灵的折磨及摧残,https://book.douban.com/subject/2158684/
规训与惩罚,[法] 米歇尔·福柯,刘北成,生活·读书·新知三联书店,2003-1,9.3,"
                    12293
                ",,https://book.douban.com/subject/1012307/
变形记,[奥地利] 弗朗茨·卡夫卡,彤雅立,北京燕山出版社,2020-1-1,9.2,"
                    21029
                ",,https://book.douban.com/subject/35218475/
你好，旧时光（上 下）,八月长安,新世界出版社,2009-12,39.80元,8.7,"
                    51895
                ",原作名切题,https://book.douban.com/subject/4166819/
解忧杂货店,[日] 东野圭吾,李盈春,南海出版公司,2014-5,8.5,"
                    779306
                ",,https://book.douban.com/subject/25862578/
白痴,[俄] 陀思妥耶夫斯基,荣如德,上海译文出版社,2015-1,9.3,"
                    15193
                ",,https://book.douban.com/subject/25887933/
康熙的红票,孙立天,商务印书馆,2024-3,78,9.3,"
                    12437
                ",,https://book.douban.com/subject/36794613/
打开一颗心,[英] 斯蒂芬·韦斯塔比,高天羽,广西师范大学出版社,2022-4,9.1,"
                    14346
                ",,https://book.douban.com/subject/30277179/
时间的秩序,[意] 卡洛·罗韦利,杨光,湖南科学技术出版社,2019-6,8.9,"
                    24548
                ",,https://book.douban.com/subject/33424487/
夏洛的网,[美] E.B.怀特,任溶溶,上海译文出版社,2004-5,8.7,"
                    73635
                ",,https://book.douban.com/subject/1036274/
顾城的诗,顾城,人民文学出版社,1998-12,20.00,8.8,"
                    27852
                ",,https://book.douban.com/subject/1033825/
红星照耀中国,[美] 埃德加·斯诺埃,董乐山,人民文学出版社,2016-6,9.2,"
                    25260
                ",,https://book.douban.com/subject/26820347/
贾想 I,贾樟柯,台海出版社,2017-6-1,49.00元,9.0,"
                    15219
                ",,https://book.douban.com/subject/27062726/
