书名,作者,出版社,出版时间,价格,评分,评价人数,简介,书籍链接,出版年份,主要作者,译者编者,评价区间,价格区间,出版年代,评分等级,出版社热度,作者热度,热度指数,简介关键词
红楼梦,[清] 曹雪芹 著,人民文学出版社,1996-12,59.7,9.6,455918,都云作者痴，谁解其中味？,https://book.douban.com/subject/1007305/,1996.0,[清] 曹雪芹 著,,10-50万,40-60元,1990.0年代,9分以上神作,20,1,54.32531269273922,"['都云作者', '谁解其中']"
活着,余华,作家出版社,2012-8,28.0,9.4,901066,生的苦难与伟大,https://book.douban.com/subject/4913064/,2012.0,余华,,50-100万,20-40元,2010.0年代,9分以上神作,4,3,55.97471206564569,"['生的苦难', '与伟大']"
哈利·波特,J.K.罗琳 (J.K.Rowling),苏农,人民文学出版社,1.0,9.7,130202,从9¾站台开始的旅程,https://book.douban.com/subject/24531956/,,J.K.罗琳 (J.K.Rowling),,10-50万,0-20元,未知,9分以上神作,1,1,49.611791257099995,"['站台开始', '的旅程']"
1984,[英] 乔治·奥威尔,刘绍铭,北京十月文艺出版社,1.0,9.4,306791,栗树荫下，我出卖你，你出卖我,https://book.douban.com/subject/4820710/,,[英] 乔治·奥威尔,,10-50万,0-20元,未知,9分以上神作,1,2,51.57632058128487,"['你出卖我', '栗树荫下', '我出卖你']"
三体全集,刘慈欣,重庆出版社,2012-1,168.0,9.5,211061,地球往事三部曲,https://book.douban.com/subject/6518605/,2012.0,刘慈欣,,10-50万,100元以上,2010.0年代,9分以上神作,1,2,50.58187591907171,"['地球往事', '三部曲']"
百年孤独,[哥伦比亚] 加西亚·马尔克斯,范晔,南海出版公司,6.0,9.3,464974,魔幻现实主义文学代表作,https://book.douban.com/subject/6082808/,,[哥伦比亚] 加西亚·马尔克斯,,10-50万,0-20元,未知,9分以上神作,1,3,52.707086622432136,"['代表作', '主义文学', '魔幻现实']"
飘,[美国] 玛格丽特·米切尔,李美华,译林出版社,9.0,9.3,225529,革命时期的爱情，随风而逝,https://book.douban.com/subject/1068920/,,[美国] 玛格丽特·米切尔,,10-50万,0-20元,未知,9分以上神作,1,1,49.78478226644555,"['的爱情', '随风而逝', '革命时期']"
动物农场,[英] 乔治·奥威尔,荣如德,上海译文出版社,3.0,9.3,177016,太阳底下并无新事,https://book.douban.com/subject/2035179/,,[英] 乔治·奥威尔,,10-50万,0-20元,未知,9分以上神作,3,2,48.80651646246576,"['并无新事', '太阳底下']"
房思琪的初恋乐园,林奕含,北京联合出版公司,2018-2,45.0,9.2,415662,向死而生的文学绝唱,https://book.douban.com/subject/27614904/,2018.0,林奕含,,10-50万,40-60元,2010.0年代,9分以上神作,2,1,51.69241097096881,"['向死而生', '的文学绝']"
三国演义（全二册）,[明] 罗贯中,人民文学出版社,1998-05,39.5,9.3,180488,是非成败转头空,https://book.douban.com/subject/1019568/,1998.0,[明] 罗贯中,,10-50万,20-40元,1990.0年代,9分以上神作,20,1,48.88496949242238,"['转头空', '是非成败']"
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔,丁钟华 等,群众出版社,8.0,9.3,143539,名侦探的代名词,https://book.douban.com/subject/1040211/,,[英] 阿·柯南道尔,,10-50万,0-20元,未知,9分以上神作,1,1,47.95982022146676,"['代名词', '名侦探的']"
白夜行,[日] 东野圭吾,刘姿君,南海出版公司,1.0,9.2,520287,一宗离奇命案牵出跨度近20年步步惊心的故事,https://book.douban.com/subject/10554308/,,[日] 东野圭吾,,50-100万,0-20元,未知,9分以上神作,1,4,52.58943536685983,"['一宗离奇', '跨度近', '命案牵出']"
小王子,[法国] 安东尼·德·圣-埃克苏佩里,马振骋,人民文学出版社,8.0,9.1,791005,献给长成了大人的孩子们,https://book.douban.com/subject/1084336/,,[法国] 安东尼·德·圣-埃克苏佩里,,50-100万,0-20元,未知,9分以上神作,1,1,53.6734309812909,"['孩子们', '献给长成', '了大人的']"
呐喊,鲁迅,人民文学出版社,1973-3,0.36,9.2,174589,新文学的第一声呐喊,https://book.douban.com/subject/1449351/,1973.0,鲁迅,,10-50万,0-20元,1970.0年代,9分以上神作,20,6,48.226555272611684,"['新文学的', '第一声呐']"
邓小平时代,【美】傅高义 (Ezra.F.Vogel),冯克利,生活·读书·新知三联书店,18.0,9.3,84002,个人命运背后的历史变局,https://book.douban.com/subject/20424526/,,【美】傅高义 (Ezra.F.Vogel),,5-10万,0-20元,未知,9分以上神作,1,1,45.7958935244374,"['背后的历', '个人命运', '史变局']"
安徒生童话故事集,（丹麦）安徒生,叶君健,人民文学出版社,8.0,9.3,142191,为了争取未来的一代,https://book.douban.com/subject/1046209/,,（丹麦）安徒生,,10-50万,0-20元,未知,9分以上神作,2,1,47.921710609341496,"['未来的一', '为了争取']"
撒哈拉的故事,三毛,哈尔滨出版社,2003-8,15.8,9.2,193969,游荡的自由灵魂,https://book.douban.com/subject/1060068/,2003.0,三毛,,10-50万,0-20元,2000.0年代,9分以上神作,4,6,48.64713740668082,"['游荡的自', '由灵魂']"
天龙八部,金庸,生活·读书·新知三联书店,1994-5,96.0,9.2,139440,有情皆孽，无人不冤,https://book.douban.com/subject/1255625/,1994.0,金庸,,10-50万,60-100元,1990.0年代,9分以上神作,13,6,47.32836384173782,"['有情皆孽', '无人不冤']"
失踪的孩子,[意] 埃莱娜·费兰特,陈英,人民文学出版社,7.0,9.2,97510,我的整个生命，只是一场为了提升社会地位的低俗斗争。,https://book.douban.com/subject/30172069/,,[意] 埃莱娜·费兰特,,5-10万,0-20元,未知,9分以上神作,4,4,45.89925223923162,"['我的整个', '生命', '为了提升']"
新名字的故事,[意] 埃莱娜·费兰特,陈英,人民文学出版社,4.0,9.2,108577,探索青年时代的激情、困惑、挣扎、背叛和失去,https://book.douban.com/subject/26986954/,,[意] 埃莱娜·费兰特,,10-50万,0-20元,未知,9分以上神作,4,4,46.32878810830225,"['探索青年', '背叛和失', '困惑']"
杀死一只知更鸟,[美] 哈珀·李,高红梅,译林出版社,9.0,9.2,160122,有一种东西不能遵循从众原则，那就是——人的良心,https://book.douban.com/subject/6781808/,,[美] 哈珀·李,,10-50万,0-20元,未知,9分以上神作,1,1,47.88094925530813,"['有一种东', '循从众原', '西不能遵']"
明朝那些事儿（1-9）,当年明月,中国海关出版社,2009-4,358.2,9.2,197413,不拘一格的历史书写,https://book.douban.com/subject/3674537/,2009.0,当年明月,,10-50万,100元以上,2000.0年代,9分以上神作,1,1,48.71745688477959,"['不拘一格', '的历史书']"
卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基,荣如德,上海译文出版社,1.0,9.6,48650,,https://book.douban.com/subject/25887924/,,[俄] 费奥多尔·陀思妥耶夫斯基,,1-5万,0-20元,未知,9分以上神作,3,1,44.995995308201955,[]
野草,鲁迅,人民文学出版社,1973-3,0.2,9.5,54291,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。,https://book.douban.com/subject/1915958/,1973.0,鲁迅,,5-10万,0-20元,1970.0年代,9分以上神作,20,6,44.97991449056374,"['爱者与不', '在明与暗', '作证']"
沉默的大多数,王小波,中国青年出版社,1997-10,27.0,9.1,159731,沉默是沉默者的通行证,https://book.douban.com/subject/1054685/,1997.0,王小波,,10-50万,20-40元,1990.0年代,9分以上神作,2,4,47.3508418162841,"['沉默是沉', '行证', '默者的通']"
中国历代政治得失,钱穆,生活·读书·新知三联书店,2001,12.0,9.2,81419,一部简明的“中国政治制度史”,https://book.douban.com/subject/1003479/,2001.0,钱穆,,5-10万,0-20元,2000.0年代,9分以上神作,13,1,45.17867702887493,"['制度史', '一部简明', '中国政治']"
悉达多,[德] 赫尔曼·黑塞,姜乙,天津人民出版社,1.0,9.1,166867,,https://book.douban.com/subject/26980487/,,[德] 赫尔曼·黑塞,,10-50万,0-20元,未知,9分以上神作,2,2,47.5235711687062,[]
罗杰疑案,[英] 阿加莎·克里斯蒂,常禾,新星出版社,3.0,9.2,94900,,https://book.douban.com/subject/21371175/,,[英] 阿加莎·克里斯蒂,,5-10万,0-20元,未知,9分以上神作,1,3,45.79084915433109,[]
我与地坛,史铁生,春风文艺出版社,2002-5,25.0,9.2,126962,这是你的罪孽与福祉,https://book.douban.com/subject/1209899/,2002.0,史铁生,,10-50万,20-40元,2000.0年代,9分以上神作,1,1,46.95379854720399,"['罪孽与福', '这是你的']"
局外人,[法] 阿尔贝·加缪,柳鸣九,上海译文出版社,8.0,9.1,265901,人生在世，永远也不该演戏作假,https://book.douban.com/subject/4908885/,,[法] 阿尔贝·加缪,,10-50万,0-20元,未知,9分以上神作,1,2,49.36495173271972,"['该演戏作', '永远也不', '人生在世']"
许三观卖血记,余华,作家出版社,2012-9,24.0,9.2,195432,,https://book.douban.com/subject/4760224/,2012.0,余华,,10-50万,20-40元,2010.0年代,9分以上神作,4,3,48.67716022384087,[]
彷徨,鲁迅,人民文学出版社,1973-3,0.37,9.3,73342,路漫漫其修远兮，吾将上下而求索,https://book.douban.com/subject/1449348/,1973.0,鲁迅,,5-10万,0-20元,1970.0年代,9分以上神作,20,6,45.247780563667,"['修远兮', '路漫漫其', '而求索']"
白鹿原,陈忠实,人民文学出版社,2012-9,39.0,9.2,123662,一轴关于我们民族灵魂的现实主义画卷,https://book.douban.com/subject/10564071/,2012.0,陈忠实,,10-50万,20-40元,2010.0年代,9分以上神作,20,1,46.84857364825932,"['一轴关于', '实主义画', '我们民族']"
人类简史,[以色列] 尤瓦尔·赫拉利,林俊宏,中信出版社,11.0,9.1,212259,跟着人类一同走过十万年,https://book.douban.com/subject/25985021/,,[以色列] 尤瓦尔·赫拉利,,10-50万,0-20元,未知,9分以上神作,1,1,48.47448163593754,"['十万年', '一同走过', '跟着人类']"
平凡的世界（全三部）,路遥,人民文学出版社,2005-1,64.0,9.0,338143,中国当代城乡生活全景,https://book.douban.com/subject/1200840/,2005.0,路遥,,10-50万,60-100元,2000.0年代,9分以上神作,20,1,49.7619036125429,"['全景', '城乡生活', '中国当代']"
乡土中国,费孝通,上海人民出版社,2006-4,38.0,9.2,104582,中国乡土社会传统文化和社会结构理论研究代表作,https://book.douban.com/subject/1795079/,2006.0,费孝通,,10-50万,20-40元,2000.0年代,9分以上神作,2,1,46.17900387479093,"['会结构理', '社会传统', '论研究代']"
围城,钱锺书,人民文学出版社,1991-2,19.0,9.0,459063,,https://book.douban.com/subject/1008145/,1991.0,钱锺书,,10-50万,0-20元,1990.0年代,9分以上神作,20,1,50.95685061444019,[]
笑傲江湖（全四册）,金庸,生活·读书·新知三联书店,1994-5,76.8,9.1,117126,欲练此功，必先自宫,https://book.douban.com/subject/1002299/,1994.0,金庸,,10-50万,60-100元,1990.0年代,9分以上神作,13,6,46.12474513771817,"['必先自宫', '欲练此功']"
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,陈澄和,广西师范大学出版社,4.0,9.1,131697,当声称能改造智能的科学实验选中心智障碍主角,https://book.douban.com/subject/26362836/,,[美] 丹尼尔·凯斯,,10-50万,0-20元,未知,9分以上神作,1,1,46.5881405265304,"['当声称能', '智障碍主', '验选中心']"
肖申克的救赎,[美] 斯蒂芬·金,施寄青,人民文学出版社,7.0,9.1,128625,豆瓣电影Top1原著,https://book.douban.com/subject/1829226/,,[美] 斯蒂芬·金,,10-50万,0-20元,未知,9分以上神作,1,1,46.494861028711455,"['豆瓣电影', '原著']"
东方快车谋杀案,[英] 阿加莎·克里斯蒂,陈尧光,人民文学出版社,5.0,9.1,150846,谋杀诡计惊人，波洛的抉择耐人寻味,https://book.douban.com/subject/1827374/,,[英] 阿加莎·克里斯蒂,,10-50万,0-20元,未知,9分以上神作,1,3,47.12465756570455,"['波洛的抉', '惊人', '谋杀诡计']"
城南旧事,林海音 文,中国青年出版社,2003-7,16.0,9.1,168912,长亭外，古道边，芳草碧连天,https://book.douban.com/subject/1254588/,2003.0,林海音 文,,10-50万,0-20元,2000.0年代,9分以上神作,2,1,47.57171058831809,"['长亭外', '芳草碧连', '古道边']"
故事新编,鲁迅,人民文学出版社,1973-12-01,0.31,9.4,50293,拾取古代传说，取一点因由，随意点染,https://book.douban.com/subject/2046909/,1973.0,鲁迅,,5-10万,0-20元,1970.0年代,9分以上神作,20,6,44.19417089718927,"['随意点染', '传说', '取一点因']"
江城,[美] 彼得·海斯勒,李雪顺,上海译文出版社,1.0,9.1,69065,外国人眼中的涪陵,https://book.douban.com/subject/7060185/,,[美] 彼得·海斯勒,,5-10万,0-20元,未知,9分以上神作,2,2,44.03724794694576,"['外国人眼', '中的涪陵']"
基督山伯爵,[法国] 大仲马,周克希,上海译文出版社,1.0,9.1,136350,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景,https://book.douban.com/subject/1085860/,,[法国] 大仲马,,10-50万,0-20元,未知,9分以上神作,1,1,46.7253617947266,"['为背景', '一个报恩', '复仇的故']"
朝花夕拾,鲁迅,人民文学出版社,1973-4,0.25,9.1,169789,在纷扰中寻出一点闲静,https://book.douban.com/subject/1449352/,1973.0,鲁迅,,10-50万,0-20元,1970.0年代,9分以上神作,20,6,47.59217690945459,"['闲静', '在纷扰中', '寻出一点']"
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,杨玲,南海出版公司,1.0,9.0,306477,义无反顾地直达爱情的核心,https://book.douban.com/subject/10594787/,,[哥伦比亚] 加西亚·马尔克斯,,10-50万,0-20元,未知,9分以上神作,1,3,49.377580990502416,"['地直达爱', '情的核心', '义无反顾']"
万历十五年,[美] 黄仁宇,生活·读书·新知三联书店,1997-5,18.0,9.0,214851,见微知著，历史观的颠覆,https://book.douban.com/subject/1041482/,1997.0,[美] 黄仁宇,,10-50万,0-20元,1990.0年代,9分以上神作,13,1,47.98923641459838,"['见微知著', '历史观的', '颠覆']"
秋园,杨本芬,北京联合出版公司,2020-6,38.0,9.0,141981,,https://book.douban.com/subject/34998019/,2020.0,杨本芬,,10-50万,20-40元,2020.0年代,9分以上神作,2,1,46.37007207603033,[]
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich),范景中,广西美术出版社,4.0,9.5,28813,从最早的洞窟绘画到当今的实验艺术,https://book.douban.com/subject/3162991/,,[英] 贡布里希 (Sir E.H.Gombrich),,1-5万,0-20元,未知,9分以上神作,1,1,42.36609055270407,"['实验艺术', '洞窟绘画', '到当今的']"
置身事内,兰小欢,上海人民出版社,2021-8,65.0,9.1,100654,,https://book.douban.com/subject/35546622/,2021.0,兰小欢,,10-50万,60-100元,2020.0年代,9分以上神作,2,1,45.5257624501102,[]
月亮和六便士,[英] 毛姆,傅惟慈,上海译文出版社,8.0,9.0,222182,有多少人会经历顿悟，就有更少的人甘愿自我放逐,https://book.douban.com/subject/1858513/,,[英] 毛姆,,10-50万,0-20元,未知,9分以上神作,1,2,48.120379846277515,"['的人甘愿', '就有更少', '自我放逐']"
厌女,上野千鹤子,王兰,上海三联书店,1.0,9.1,93528,,https://book.douban.com/subject/25836270/,,上野千鹤子,,5-10万,0-20元,未知,9分以上神作,1,1,45.235568992289096,[]
射雕英雄传,金庸,生活·读书·新知三联书店,1999-04,47.0,9.1,91136,侠之大者，为国为民,https://book.douban.com/subject/1044547/,1999.0,金庸,,5-10万,40-60元,1990.0年代,9分以上神作,13,6,45.133178665890995,"['为国为民', '侠之大者']"
西游记（全二册）,吴承恩,黄肃秋 注释,人民文学出版社,8.0,9.1,99951,神魔皆有人情，精魅亦通世故,https://book.douban.com/subject/1029553/,,吴承恩,,5-10万,0-20元,未知,9分以上神作,1,1,45.49806300630297,"['神魔皆有', '世故', '精魅亦通']"
追风筝的人,[美] 卡勒德·胡赛尼,李继宏,上海人民出版社,5.0,8.9,820790,为你，千千万万遍,https://book.douban.com/subject/1770782/,,[美] 卡勒德·胡赛尼,,50-100万,0-20元,未知,8.5-9分优秀,2,2,52.63666530394826,"['为你', '千千万万']"
树上的男爵,[意大利]伊塔洛·卡尔维诺,吴正仪,译林出版社,1.0,9.1,69576,是不是真的只有先与人疏离，才能最终与他们在一起？,https://book.douban.com/subject/6789605/,,[意大利]伊塔洛·卡尔维诺,,5-10万,0-20元,未知,9分以上神作,3,1,44.06638105930609,"['的只有先', '才能最终', '一起']"
无人生还,[英] 阿加莎・克里斯蒂,祁阿红,人民文学出版社,3.0,9.0,164111,童谣杀人案,https://book.douban.com/subject/3006581/,,[英] 阿加莎・克里斯蒂,,10-50万,0-20元,未知,9分以上神作,1,1,46.93623922650856,['童谣杀人']
寻路中国,[美] 彼得·海斯勒,李雪顺,上海译文出版社,1.0,9.0,60741,《纽约客》驻北京记者驾车漫游中国大陆的经历,https://book.douban.com/subject/5414391/,,[美] 彼得·海斯勒,,5-10万,0-20元,未知,9分以上神作,2,2,43.051337438226426,"['陆的经历', '者驾车漫', '游中国大']"
格林童话全集,[德]格林兄弟,魏以新,人民文学出版社,11.0,9.1,100752,一本有教育意义的书,https://book.douban.com/subject/1043008/,,[德]格林兄弟,,10-50万,0-20元,未知,9分以上神作,1,1,45.52960845121768,"['育意义的', '一本有教']"
刀锋,[英]毛姆,周煦良,上海译文出版社,3.0,9.0,100196,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,https://book.douban.com/subject/2035162/,,[英]毛姆,,10-50万,0-20元,未知,9分以上神作,1,1,45.00765345672092,"['易越过', '锋刃不容', '因此智者']"
中国少年儿童百科全书（全四册）,林崇德 主编,浙江教育出版社,1991-4,168.0,9.4,20884,,https://book.douban.com/subject/1028409/,1991.0,林崇德 主编,,1-5万,100元以上,1990.0年代,9分以上神作,1,1,40.60624863466357,[]
可能性的艺术,刘瑜,广西师范大学出版社,2022-4,82.0,9.2,49031,,https://book.douban.com/subject/35819419/,2022.0,刘瑜,,1-5万,60-100元,2020.0年代,9分以上神作,5,2,43.15233090814606,[]
太白金星有点烦,马伯庸,湖南文艺出版社,2023-6,45.0,9.0,141958,,https://book.douban.com/subject/36328704/,2023.0,马伯庸,,10-50万,40-60元,2020.0年代,9分以上神作,3,2,46.369438848767075,[]
鼠疫,[法] 阿尔贝·加缪,刘方,上海译文出版社,8.0,9.1,92047,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理,https://book.douban.com/subject/24257229/,,[法] 阿尔贝·加缪,,5-10万,0-20元,未知,9分以上神作,1,2,45.17248771057963,"['等合理', '用别样的', '与用不存']"
嫌疑人X的献身,[日] 东野圭吾,刘子倩,南海出版公司,9.0,8.9,547523,数学好是一种极致的浪漫,https://book.douban.com/subject/3211779/,,[日] 东野圭吾,,50-100万,0-20元,未知,8.5-9分优秀,1,4,51.07178107042383,"['的浪漫', '一种极致', '数学好是']"
傲慢与偏见,[英] 奥斯丁,张玲,人民文学出版社,7.0,8.9,241840,所有现代言情小说的母体,https://book.douban.com/subject/1083428/,,[英] 奥斯丁,,10-50万,0-20元,未知,8.5-9分优秀,1,1,47.91340039411087,"['的母体', '所有现代', '言情小说']"
刘擎西方现代思想讲义,刘擎,新星出版社,2021-1,79.0,9.2,43984,,https://book.douban.com/subject/35313227/,2021.0,刘擎,,1-5万,60-100元,2020.0年代,9分以上神作,2,1,42.71831144699442,[]
黄金时代,王小波,花城出版社,1999-3,19.0,8.9,173051,我想爱，想吃，还想在一瞬间变成天上半明半暗的云,https://book.douban.com/subject/1089243/,1999.0,王小波,,10-50万,0-20元,1990.0年代,8.5-9分优秀,3,4,46.6197496081056,"['瞬间变成', '想吃', '还想在一']"
孽子,白先勇,广西师范大学出版社,2010-10,46.0,9.2,56699,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们,https://book.douban.com/subject/5337254/,2010.0,白先勇,,5-10万,40-60元,2010.0年代,9分以上神作,5,2,43.732893673658346,"['街头', '的孩子们', '深的黑夜']"
史记（全十册）,司马迁,（索隐）司马贞，（正义）张守节,中华书局,11.0,9.5,27004,史家之绝唱，无韵之离骚,https://book.douban.com/subject/1077847/,,司马迁,,1-5万,0-20元,未知,9分以上神作,1,1,42.09856694350944,"['无韵之离', '史家之绝']"
台北人,白先勇,广西师范大学出版社,2010-10,38.0,9.0,82159,白先勇短篇小说集,https://book.douban.com/subject/5337248/,2010.0,白先勇,,5-10万,20-40元,2010.0年代,9分以上神作,5,2,44.231896301372565,"['篇小说集', '白先勇短']"
悲惨世界（上中下）,[法] 雨果,李丹,人民文学出版社,6.0,9.1,66707,现实主义与浪漫主义的至高杰作,https://book.douban.com/subject/1205054/,,[法] 雨果,,5-10万,0-20元,未知,9分以上神作,1,1,43.89995982787501,"['与浪漫主', '义的至高', '杰作']"
一间只属于自己的房间,[英] 弗吉尼亚·伍尔夫,周颖琪,天津人民出版社,10.0,9.2,52993,,https://book.douban.com/subject/34835082/,,[英] 弗吉尼亚·伍尔夫,,5-10万,0-20元,未知,9分以上神作,1,1,43.462810256708806,[]
四世同堂,老舍,北京十月文艺出版社,2008-7,36.0,9.4,46693,北平沦陷时代广大平民的悲惨遭遇,https://book.douban.com/subject/3183775/,2008.0,老舍,,1-5万,20-40元,2000.0年代,9分以上神作,7,3,43.89096671332067,"['时代广大', '平民的悲', '惨遭遇']"
诗经,孔丘 编订,北京出版社,2006-7,19.9,9.5,31339,思无邪,https://book.douban.com/subject/1883245/,2006.0,孔丘 编订,,1-5万,0-20元,2000.0年代,9分以上神作,1,1,42.71280877677817,['思无邪']
永恒的终结,[美] 艾萨克·阿西莫夫,崔正男,江苏凤凰文艺出版社,9.0,9.1,53437,关于时间旅行的终极奥秘和恢宏构想,https://book.douban.com/subject/25829693/,,[美] 艾萨克·阿西莫夫,,5-10万,0-20元,未知,9分以上神作,1,2,43.02336282316014,"['关于时间', '恢宏构想', '极奥秘和']"
毛泽东选集,毛泽东,人民出版社,1991-6,40.0,9.6,36856,,https://book.douban.com/subject/1139360/,1991.0,毛泽东,,1-5万,20-40元,1990.0年代,9分以上神作,1,1,43.83847871274838,[]
美丽新世界,【英】奥尔德斯·赫胥黎,陈超,上海译文出版社,6.0,9.1,69497,,https://book.douban.com/subject/27002046/,,【英】奥尔德斯·赫胥黎,,5-10万,0-20元,未知,9分以上神作,1,1,44.06189112471603,[]
